200 http://192.168.0.124:1935/vod/mp4:sample.mp4/playlist.m3u8 17 : 23 : 44
200 http://192.168.0.124:1935/vod/mp4:sample.mp4/chunklist_w1203692519.m3u8 17 : 23 : 44
7 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_0.ts 17 : 23 : 46
8 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_0.ts 17 : 23 : 47
3 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_0.ts 17 : 23 : 49
6 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_0.ts 17 : 23 : 49
0 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_0.ts 17 : 23 : 50
2 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_0.ts 17 : 23 : 51
4 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_0.ts 17 : 23 : 52
1 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_0.ts 17 : 23 : 52
5 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_0.ts 17 : 23 : 53
9 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_0.ts 17 : 23 : 53
7 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_1.ts 17 : 23 : 56
8 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_1.ts 17 : 23 : 57
3 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_1.ts 17 : 23 : 59
6 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_1.ts 17 : 23 : 59
0 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_1.ts 17 : 24 : 0
2 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_1.ts 17 : 24 : 1
4 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_1.ts 17 : 24 : 2
1 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_1.ts 17 : 24 : 2
5 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_1.ts 17 : 24 : 3
9 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_1.ts 17 : 24 : 3
7 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_2.ts 17 : 24 : 6
8 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_2.ts 17 : 24 : 7
3 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_2.ts 17 : 24 : 9
6 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_2.ts 17 : 24 : 9
0 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_2.ts 17 : 24 : 10
2 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_2.ts 17 : 24 : 11
4 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_2.ts 17 : 24 : 12
1 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_2.ts 17 : 24 : 12
5 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_2.ts 17 : 24 : 13
9 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_2.ts 17 : 24 : 13
7 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_3.ts 17 : 24 : 16
8 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_3.ts 17 : 24 : 17
3 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_3.ts 17 : 24 : 19
6 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_3.ts 17 : 24 : 19
0 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_3.ts 17 : 24 : 20
2 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_3.ts 17 : 24 : 21
4 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_3.ts 17 : 24 : 22
1 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_3.ts 17 : 24 : 22
5 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_3.ts 17 : 24 : 23
9 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_3.ts 17 : 24 : 23
7 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_4.ts 17 : 24 : 26
8 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_4.ts 17 : 24 : 27
3 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_4.ts 17 : 24 : 29
6 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_4.ts 17 : 24 : 29
0 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_4.ts 17 : 24 : 30
2 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_4.ts 17 : 24 : 31
4 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_4.ts 17 : 24 : 32
1 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_4.ts 17 : 24 : 32
5 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_4.ts 17 : 24 : 33
9 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_4.ts 17 : 24 : 33
7 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_5.ts 17 : 24 : 36
8 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_5.ts 17 : 24 : 37
3 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_5.ts 17 : 24 : 39
6 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_5.ts 17 : 24 : 39
0 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_5.ts 17 : 24 : 40
2 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_5.ts 17 : 24 : 41
4 200 http://192.168.0.124:1935/vod/mp4:sample.mp4/media_w1203692519_5.ts 17 : 24 : 42
